PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
13.26196836588797,0.3906227208370181,0.36944934468951524,5.52937369818338,1.9866957289696339,-2.680348285114562,0.06656600882238968,0.9142396165394047,1.61003812261809
13.467735102517524,1.9072713871019809,2.824439735521016,-0.5143802209200522,1.5482374887468477,-0.6607750277861459,2.3559375728959484,0.2807067953616601,3.670681095282378
11.40825429992482,3.2596209813135464,2.3471265911907433,2.965604201033574,1.093846838291676,-1.16646472543875,0.13773700272840878,0.8148947649166999,0.5330089764862462
11.970450849311998,-0.263818326400525,-0.1632735152517058,5.000930947146511,1.3438687207485445,-0.14649706698393408,-1.0303348165114823,0.7140107098289241,-1.0549377329560767
1.3153401596982772,1.0694454596813134,0.17182354976904118,2.210595398355963,0.007891908530175242,-4.106270124723649,-3.278225947596767,2.151655209931162,1.303149966456162
4.97397401536381,2.36012516481407,0.8021667192223146,0.4246437935850616,1.2105759809413397,-3.431506956339679,-1.239188501952566,1.3402979318727368,-0.6014312891759755
6.979660687316811,-0.6393490469324232,-1.0022186840645273,2.2502449195916445,1.6520160908676893,-2.4274231876559487,-0.6070027066007189,0.21494706543743874,0.20599136416271244
5.8917382872723145,3.0256663049088544,0.9526133646161934,3.054923768462605,0.31510910713817963,-0.6240596163482379,-0.9760188433148559,1.6755404048117648,-1.0476802585297862
3.78755893319407,0.11455399696231636,1.0891918538608418,0.7946966957910908,-0.20765544919543114,-2.7102247858661106,-1.7767984146880378,0.46866311040416664,0.9167276849518002
10.95872355562165,-0.6092865874221813,-0.2039453109414755,3.2503509057252886,1.2576988956960469,0.7386026264677817,-0.3259470087964462,-0.385879060154185,-0.6885385053025442
0.9576424381362934,0.48904983828634474,0.538464972964891,1.5833319129933707,-0.6926753915488194,-2.3460006382634164,-1.5079283995818225,0.29652148462762784,1.1557744289679206
0.9054527737020777,2.3899430659219787,1.102551840398293,2.605125123815554,-0.8875004011658659,-1.885469103440739,-0.9307560343440027,0.22123481893184305,1.170403947406526
4.150595666206381,0.6574346648150454,1.31107079305436,2.035863380145086,-0.7535146002496655,-0.9682288944661406,-0.9249783838095529,-0.379723268827026,1.4203246767904736
10.834124734622746,-0.6524155133755588,-0.3699259601599747,3.904536411794121,0.9064182877420807,1.769421968299982,-0.8612759059432648,-0.3451464064786817,-1.7929299546421709
